METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,CREDITCARD,PAY_PHONE,Geom,Geo Local Area,METERID,geo_point_2d
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,59945,"{""coordinates"": [-123.10651410105437, 49.26883378006674], ""type"": ""Point""}",Mount Pleasant,761804,"49.26883378006674, -123.10651410105437"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,50030,"{""coordinates"": [-123.10933997630968, 49.26871497649197], ""type"": ""Point""}",Mount Pleasant,521810,"49.26871497649197, -123.10933997630968"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,50757,"{""coordinates"": [-123.10139406040383, 49.26817000733011], ""type"": ""Point""}",Mount Pleasant,A30116,"49.26817000733011, -123.10139406040383"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,50158,"{""coordinates"": [-123.1112470069986, 49.267449960294115], ""type"": ""Point""}",Mount Pleasant,B40320,"49.267449960294115, -123.1112470069986"
Pay Station,$3.00,$1.00,$3.00,$1.00,$3.00,$1.00,$1.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,57091,"{""coordinates"": [-123.15497397721086, 49.232945966745646], ""type"": ""Point""}",Kerrisdale,EB5818,"49.232945966745646, -123.15497397721086"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,59810,"{""coordinates"": [-123.05851383326026, 49.28124620889672], ""type"": ""Point""}",Grandview-Woodland,072231,"49.28124620889672, -123.05851383326026"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,59815,"{""coordinates"": [-123.05749635884833, 49.28123772447557], ""type"": ""Point""}",Grandview-Woodland,072305,"49.28123772447557, -123.05749635884833"
Pay Station,$11.00,$4.00,$11.00,$4.00,$11.00,$4.00,$5.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,66602,"{""coordinates"": [-123.12017305075493, 49.285843445293835], ""type"": ""Point""}",Downtown,101014,"49.285843445293835, -123.12017305075493"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,59813,"{""coordinates"": [-123.05790233106386, 49.28151119101056], ""type"": ""Point""}",Grandview-Woodland,GD0317,"49.28151119101056, -123.05790233106386"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,59814,"{""coordinates"": [-123.05774972843665, 49.28149117215399], ""type"": ""Point""}",Grandview-Woodland,GD0314,"49.28149117215399, -123.05774972843665"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,59824,"{""coordinates"": [-123.05791784837773, 49.28087208491275], ""type"": ""Point""}",Grandview-Woodland,GD0405,"49.28087208491275, -123.05791784837773"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,59823,"{""coordinates"": [-123.0577550001375, 49.2808719595333], ""type"": ""Point""}",Grandview-Woodland,GD0406,"49.2808719595333, -123.0577550001375"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,10 Hrs,10 Hrs,10 Hrs,10 Hrs,10 Hrs,10 Hrs,13 Hrs,Yes,59837,"{""coordinates"": [-123.0927466536023, 49.266890994663214], ""type"": ""Point""}",Strathcona,GN0525,"49.266890994663214, -123.0927466536023"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,10 Hrs,10 Hrs,10 Hrs,10 Hrs,10 Hrs,10 Hrs,13 Hrs,Yes,59837,"{""coordinates"": [-123.09182968954376, 49.26689124133452], ""type"": ""Point""}",Strathcona,GN0535,"49.26689124133452, -123.09182968954376"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,59968,"{""coordinates"": [-123.09472882232834, 49.26807977528027], ""type"": ""Point""}",Strathcona,TH1817,"49.26807977528027, -123.09472882232834"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,67822,"{""coordinates"": [-123.13567993670524, 49.28337601056842], ""type"": ""Point""}",West End,161325,"49.28337601056842, -123.13567993670524"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,30 min,13 Hrs,Yes,54361,"{""coordinates"": [-123.15441801910711, 49.248570011252575], ""type"": ""Point""}",Arbutus Ridge,LB2115,"49.248570011252575, -123.15441801910711"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,50953,"{""coordinates"": [-123.1544160395143, 49.24846396011186], ""type"": ""Point""}",Arbutus Ridge,LB2118,"49.24846396011186, -123.1544160395143"
Pay Station,$4.00,$3.00,$4.00,$3.00,$4.00,$3.00,$2.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,67804,"{""coordinates"": [-123.10640797983922, 49.2827910437042], ""type"": ""Point""}",Downtown,040032,"49.2827910437042, -123.10640797983922"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,4 Hr,4 Hr,4 Hr,4 Hr,13 Hrs,Yes,67619,"{""coordinates"": [-123.11391135175944, 49.28136216674627], ""type"": ""Point""}",Downtown,580612,"49.28136216674627, -123.11391135175944"
Single,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,13 Hrs,No,51070,"{""coordinates"": [-123.17389032115639, 49.26452885716032], ""type"": ""Point""}",Kitsilano,8M2414,"49.26452885716032, -123.17389032115639"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,13 Hrs,Yes,50786,"{""coordinates"": [-123.1036650286887, 49.265615963747685], ""type"": ""Point""}",Mount Pleasant,A60017,"49.265615963747685, -123.1036650286887"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Yes,50788,"{""coordinates"": [-123.10766395996392, 49.26557398711314], ""type"": ""Point""}",Mount Pleasant,B60112,"49.26557398711314, -123.10766395996392"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Yes,57950,"{""coordinates"": [-123.10661197992422, 49.26618303826234], ""type"": ""Point""}",Mount Pleasant,762108,"49.26618303826234, -123.10661197992422"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Yes,57944,"{""coordinates"": [-123.1067899754763, 49.266179995422426], ""type"": ""Point""}",Mount Pleasant,762109,"49.266179995422426, -123.1067899754763"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Yes,50063,"{""coordinates"": [-123.10662096141834, 49.26524797865413], ""type"": ""Point""}",Mount Pleasant,762208,"49.26524797865413, -123.10662096141834"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Yes,50064,"{""coordinates"": [-123.10686597197011, 49.26509096590253], ""type"": ""Point""}",Mount Pleasant,762213,"49.26509096590253, -123.10686597197011"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Yes,50034,"{""coordinates"": [-123.1048990615883, 49.265028002915614], ""type"": ""Point""}",Mount Pleasant,752213,"49.265028002915614, -123.1048990615883"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Yes,50803,"{""coordinates"": [-123.1114040266356, 49.26575997044893], ""type"": ""Point""}",Mount Pleasant,B60309,"49.26575997044893, -123.1114040266356"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Yes,50803,"{""coordinates"": [-123.11222395639327, 49.26577204011488], ""type"": ""Point""}",Mount Pleasant,B60327,"49.26577204011488, -123.11222395639327"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Yes,50804,"{""coordinates"": [-123.10278402757565, 49.265183991611224], ""type"": ""Point""}",Mount Pleasant,742208,"49.265183991611224, -123.10278402757565"
Twin / Disability,$4.00,$1.00,$4.00,$1.00,$4.00,$1.00,$2.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,No,50321,"{""coordinates"": [-123.12051972484957, 49.26239292025677], ""type"": ""Point""}",Fairview,D00709,"49.26239292025677, -123.12051972484957"
Twin / Disability,$4.00,$1.00,$4.00,$1.00,$4.00,$1.00,$2.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,No,50295,"{""coordinates"": [-123.12028251485086, 49.262388346015285], ""type"": ""Point""}",Fairview,D00705,"49.262388346015285, -123.12028251485086"
Single Motorbike,$1.00,$0.50,$1.00,$0.50,$1.00,$0.50,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,No,54394,"{""coordinates"": [-123.10501611313758, 49.265629864582095], ""type"": ""Point""}",Mount Pleasant,B60097,"49.265629864582095, -123.10501611313758"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Yes,59842,"{""coordinates"": [-123.10357047875505, 49.265499263821674], ""type"": ""Point""}",Mount Pleasant,A60018,"49.265499263821674, -123.10357047875505"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Yes,59840,"{""coordinates"": [-123.1085292844949, 49.26571070520562], ""type"": ""Point""}",Mount Pleasant,B60131,"49.26571070520562, -123.1085292844949"
Single,$8.00,$7.00,$8.00,$7.00,$8.00,$7.00,$4.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,65274,"{""coordinates"": [-123.11862622442153, 49.28764956471476], ""type"": ""Point""}",Downtown,061029,"49.28764956471476, -123.11862622442153"
Twin,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,No,66448,"{""coordinates"": [-123.13050294632899, 49.27777365812309], ""type"": ""Point""}",Downtown,170916,"49.27777365812309, -123.13050294632899"
Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,56522,"{""coordinates"": [-123.10138434525362, 49.253753482873314], ""type"": ""Point""}",Riley Park,C90127,"49.253753482873314, -123.10138434525362"
Pay Station,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,Yes,66613,"{""coordinates"": [-123.10751801251972, 49.28007104368576], ""type"": ""Point""}",Downtown,540530,"49.28007104368576, -123.10751801251972"
Pay Station,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,Yes,66614,"{""coordinates"": [-123.10772101753534, 49.280228000412464], ""type"": ""Point""}",Downtown,540523,"49.280228000412464, -123.10772101753534"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,13 Hrs,Yes,57910,"{""coordinates"": [-123.1093510659825, 49.26430354823558], ""type"": ""Point""}",Mount Pleasant,522310,"49.26430354823558, -123.1093510659825"
Single Motorbike,$1.00,$0.50,$1.00,$0.50,$1.00,$0.50,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,13 Hrs,No,57105,"{""coordinates"": [-123.10954909260192, 49.264616276837536], ""type"": ""Point""}",Mount Pleasant,522397,"49.264616276837536, -123.10954909260192"
Pay Station,$2.00,$3.00,$2.00,$3.00,$2.00,$3.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,66624,"{""coordinates"": [-123.10321825669662, 49.283504753714546], ""type"": ""Point""}",Downtown,010020,"49.283504753714546, -123.10321825669662"
Single Motorbike,$0.50,$0.50,$0.50,$0.50,$0.50,$0.50,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,13 Hrs,No,51345,"{""coordinates"": [-123.10109713197625, 49.26647294524523], ""type"": ""Point""}",Mount Pleasant,A50199,"49.26647294524523, -123.10109713197625"
Single,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,$2.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,No,51920,"{""coordinates"": [-123.15239531619821, 49.26803632204204], ""type"": ""Point""}",Kitsilano,B42040,"49.26803632204204, -123.15239531619821"
Twin Bay Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,56410,"{""coordinates"": [-123.10058212054909, 49.25473372757917], ""type"": ""Point""}",Riley Park,C80206,"49.25473372757917, -123.10058212054909"
Twin Bay Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,other,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,54488,"{""coordinates"": [-123.09919007028694, 49.26234051912207], ""type"": ""Point""}",Mount Pleasant,990118,"49.26234051912207, -123.09919007028694"
